SMARTS
[!#1][C&H1]([!#1])[!#1]
[!#1][C&H1]([!#1])[C&H1]([!#1])[!#1]
[!#1][C&H1]([!#1])[C&H1]([!#1])C([C&H3])([C&H3])[C&H3]
[!#1][C&H1]([!#1])[C&H1](C(=O)O[C&H3])C(=O)O[C&H3]
[!#1][C&H1]([!#1])[C&H1]1[C&H2][C&H1]([C&H1]([!#1])[!#1])[C&H1]([C&H1]1C(=O)[!#1])C(=O)[O&H1]
[!#1][C&H1]([!#1])[C&H2][C&H1]([C&H1]([C&H2][C&H1]([!#1])[!#1])C(=O)[!#1])C(=O)[!#1]
[!#1][C&H1]([!#1])[C&H2][C&H2][C&H3]
[!#1][C&H1]([!#1])[C&H2][C&H2]C([!#1])([!#1])[C&H3]
[!#1][C&H1]([!#1])[C&H2]C(=N[N&H1]C(=S)[N&H2])[C&H2][C&H3]
[!#1][C&H1]([!#1])[C&H2]C(=O)[!#1]
[!#1][C&H1]([!#1])[C&H2]C(=O)[C&H2][C&H3]
[!#1][C&H1]([!#1])[C&H2]C(=O)[C&H3]
[!#1][C&H1]([!#1])[C&H2]N([!#1])[C&H2][C&H1]([!#1])[!#1]
[!#1][C&H1]([!#1])[C&H3]
[!#1][C&H1]([!#1])[N&+](=O)[O&-]
[!#1][C&H1]([!#1])[N&H1]C(=O)[!#1]
[!#1][C&H1]([!#1])[O&H1]
[!#1][C&H1]([!#1])C([!#1])([!#1])[!#1]
[!#1][C&H1]([!#1])C([!#1])([C&H3])[C&H3]
[!#1][C&H1]([!#1])C(=O)[!#1]
[!#1][C&H1]([!#1])C(=O)[C&H1]([!#1])[!#1]
[!#1][C&H1]([!#1])C(=O)[C&H2]C([C&H3])([C&H3])[C&H2]C([!#1])([!#1])[!#1]
[!#1][C&H1]([!#1])C(=O)[C&H3]
[!#1][C&H1]([!#1])C(=O)[N&H1][N&H1]C(=O)[C&H2][C&H2][C&H2][C&H2][C&H2][C&H2][C&H3]
[!#1][C&H1]([!#1])C(=O)[O&H1]
[!#1][C&H1]([!#1])C(=O)c1[c&H1][c&H1][c&H1][c&H1][c&H1]1
[!#1][C&H1]([!#1])C(=O)c1[c&H1][c&H1]c([!#1])[c&H1][c&H1]1
[!#1][C&H1]([!#1])C(=O)c1[c&H1][c&H1]c(Cl)[c&H1][c&H1]1
[!#1][C&H1]([!#1])C(=O)c1c([C&H3])[c&H1]c([C&H3])[n&H1]c1=O
[!#1][C&H1]([!#1])C(=O)c1c([C&H3])[n&H1]c2[c&H1][c&H1][c&H1][c&H1]c12
[!#1][C&H1]([!#1])C(=O)c1c([O&H1])[c&H1]c([C&H3])oc1=O
[!#1][C&H1]([!#1])C(=O)O[C&H2][C&H2]N([C&H2][C&H3])[C&H2][C&H3]
[!#1][C&H1]([!#1])c1[c&H1][c&H1][c&H1][c&H1][c&H1]1
[!#1][C&H1]([!#1])c1[c&H1][c&H1][c&H1][c&H1]c1[!#1]
[!#1][C&H1]([!#1])c1[c&H1][c&H1][c&H1][c&H1]c1[N&+](=O)[O&-]
[!#1][C&H1]([!#1])c1[c&H1][c&H1][c&H1][c&H1]c1[O&H1]
[!#1][C&H1]([!#1])c1[c&H1][c&H1][c&H1][c&H1]c1Cl
[!#1][C&H1]([!#1])c1[c&H1][c&H1][c&H1][c&H1]c1F
[!#1][C&H1]([!#1])c1[c&H1][c&H1][c&H1][c&H1]c1N([!#1])c1[c&H1][c&H1][c&H1][c&H1]c1[C&H1]([!#1])[!#1]
[!#1][C&H1]([!#1])c1[c&H1][c&H1][c&H1]c([c&H1]1)[N&+](=O)[O&-]
[!#1][C&H1]([!#1])c1[c&H1][c&H1][c&H1]c(Br)[c&H1]1
[!#1][C&H1]([!#1])c1[c&H1][c&H1][c&H1]n[c&H1]1
[!#1][C&H1]([!#1])c1[c&H1][c&H1][c&H1]o1
[!#1][C&H1]([!#1])c1[c&H1][c&H1][c&H1]s1
[!#1][C&H1]([!#1])c1[c&H1][c&H1]c([!#1])[c&H1][c&H1]1
[!#1][C&H1]([!#1])c1[c&H1][c&H1]c([!#1])o1
[!#1][C&H1]([!#1])c1[c&H1][c&H1]c([c&H1][c&H1]1)[C&H1]([!#1])[!#1]
[!#1][C&H1]([!#1])c1[c&H1][c&H1]c([c&H1][c&H1]1)[N&+](=O)[O&-]
[!#1][C&H1]([!#1])c1[c&H1][c&H1]c([c&H1][c&H1]1)N([!#1])[C&H3]
[!#1][C&H1]([!#1])c1[c&H1][c&H1]c([C&H3])[c&H1]c1[C&H3]
[!#1][C&H1]([!#1])c1[c&H1][c&H1]c([C&H3])o1
[!#1][C&H1]([!#1])c1[c&H1][c&H1]c([O&H1])[c&H1][c&H1]1
[!#1][C&H1]([!#1])c1[c&H1][c&H1]c(Br)[c&H1][c&H1]1
[!#1][C&H1]([!#1])c1[c&H1][c&H1]c(Cl)[c&H1][c&H1]1
[!#1][C&H1]([!#1])c1[c&H1][c&H1]c(Cl)[c&H1]c1Cl
[!#1][C&H1]([!#1])c1[c&H1][c&H1]c(F)[c&H1][c&H1]1
[!#1][C&H1]([!#1])c1[c&H1][c&H1]c2O[C&H2]Oc2[c&H1]1
[!#1][C&H1]([!#1])c1[c&H1][c&H1]n[c&H1][c&H1]1
[!#1][C&H1]([!#1])c1[c&H1][n&H1]c2[c&H1][c&H1][c&H1][c&H1]c12
[!#1][C&H1]([!#1])c1[c&H1]c([!#1])nn1[!#1]
[!#1][C&H1]([!#1])c1[c&H1]c([c&H1][c&H1]c1[O&H1])[N&+](=O)[O&-]
[!#1][C&H1]([!#1])c1[c&H1]c(Br)[c&H1]c(Br)c1[O&H1]
[!#1][C&H1]([!#1])C1=C([O&H1])[C&H2]C([C&H3])([C&H3])[C&H2]C1=O
[!#1][C&H1]([!#1])c1c([O&H1])[c&H1][c&H1]c2[c&H1][c&H1][c&H1][c&H1]c12
[!#1][C&H1]([!#1])c1c2[c&H1][c&H1][c&H1][c&H1]c2[c&H1]c2[c&H1][c&H1][c&H1][c&H1]c12
[!#1][C&H1]([!#1])c1sc2[c&H1][c&H1][c&H1][c&H1]c2[n&+]1[C&H2][C&H2][C&H2]S(=O)(=O)[O&H1]
[!#1][C&H1]([!#1])N([!#1])[C&H3]
[!#1][C&H1]([!#1])N([!#1])c1[c&H1][c&H1][c&H1][c&H1][c&H1]1
[!#1][C&H1]([!#1])N([C&H3])[C&H3]
[!#1][C&H1]([!#1])N1[C&H2][C&H2]O[C&H2][C&H2]1
[!#1][C&H1]([!#1])O[C&H2][C&H2]N([C&H3])[C&H3]
[!#1][C&H1]([!#1])OC(=O)[!#1]
[!#1][C&H1]([!#1])S(=O)(=O)[!#1]
[!#1][C&H1]([C&H1]([C&H3])[C&H3])C(=O)[O&H1]
[!#1][C&H1]([C&H1]=[C&H1]c1[c&H1][c&H1]c(Cl)[c&H1]c1Cl)C([C&H3])([C&H3])[C&H3]
[!#1][C&H1]([C&H2][C&H2]C(=O)[O&H1])C(=O)[O&H1]
[!#1][C&H1]([C&H2][C&H2]S[C&H3])C(=O)[O&H1]
[!#1][C&H1]([C&H2][N&+](=O)[O&-])SC(=O)[C&H3]
[!#1][C&H1]([C&H2]C(=N[N&H1]C(=O)[!#1])[!#1])C(=O)[O&H1]
[!#1][C&H1]([C&H2]C(=O)[!#1])C(=O)N([!#1])c1[c&H1][c&H1][c&H1][c&H1][c&H1]1
[!#1][C&H1]([C&H2]C(=O)[!#1])C(=O)N([!#1])c1[c&H1][c&H1][c&H1]c([C&H3])[c&H1]1
[!#1][C&H1]([C&H2]C(=O)[!#1])C(=O)N([!#1])c1[c&H1][c&H1][c&H1]c(Br)[c&H1]1
[!#1][C&H1]([C&H2]C(=O)[!#1])C(=O)N([!#1])c1[c&H1][c&H1][c&H1]c(Cl)[c&H1]1
[!#1][C&H1]([C&H2]C(=O)[!#1])C(=O)N([!#1])c1[c&H1][c&H1]c([c&H1][c&H1]1)[N&+](=O)[O&-]
[!#1][C&H1]([C&H2]C(=O)[!#1])C(=O)N([!#1])c1[c&H1][c&H1]c([c&H1][c&H1]1)C(=O)[O&H1]
[!#1][C&H1]([C&H2]C(=O)[!#1])C(=O)N([!#1])c1[c&H1][c&H1]c(Br)[c&H1][c&H1]1
[!#1][C&H1]([C&H2]C(=O)[!#1])C(=O)N([!#1])c1[c&H1][c&H1]c(Cl)[c&H1][c&H1]1
[!#1][C&H1]([C&H2]C(=O)[N&H2])C(=O)[O&H1]
[!#1][C&H1]([C&H2]C(=O)[O&H1])[N&H1]C(=O)C(F)(F)F
[!#1][C&H1]([C&H2]C(=O)[O&H1])C(=O)[O&H1]
[!#1][C&H1]([C&H3])[C&H2][C&H3]
[!#1][C&H1]([C&H3])[C&H3]
[!#1][C&H1]([C&H3])[N&H1]C(=O)[!#1]
[!#1][C&H1]([C&H3])[N&H1]C(=O)[N&H1][C&H2]C(=O)O[C&H2][C&H3]
[!#1][C&H1]([C&H3])[N&H1]C(=S)[!#1]
[!#1][C&H1]([C&H3])[N&H1]C(=S)[N&H1]C([!#1])([!#1])[!#1]
[!#1][C&H1]([C&H3])[N&H1]S(=O)(=O)[!#1]
[!#1][C&H1]([C&H3])C(=O)[!#1]
[!#1][C&H1]([C&H3])C(=O)[O&H1]
[!#1][C&H1]([C&H3])C(=O)O[C&H2]C(=O)[!#1]
[!#1][C&H1]([C&H3])c1[c&H1][c&H1][c&H1][c&H1][c&H1]1
[!#1][C&H1]([C&H3])N([!#1])C(=O)[!#1]
[!#1][C&H1]([N&H1]C(=O)[!#1])[N&H1]C(=O)[!#1]
[!#1][C&H1]([N&H1]C(=O)[!#1])C(=O)[O&H1]
[!#1][C&H1]([N&H1]C(=O)[!#1])C(Br)(Br)Br
[!#1][C&H1]([N&H1]C(=O)[!#1])C(Cl)(Cl)Cl
[!#1][C&H1]([N&H1]C(=O)[C&H2][C&H2][C&H2][C&H2][C&H3])C(Cl)(Cl)Cl
[!#1][C&H1]([N&H1]S(=O)(=O)[!#1])C(Cl)(Cl)Cl
[!#1][C&H1]([N&H2])[C&H2][C&H3]
[!#1][C&H1]([N&H2])[C&H2]C(=O)[O&H1]
[!#1][C&H1]([N&H2])C(=O)[O&H1]
[!#1][C&H1]([O&H1])[C&H1]([N&H2])[C&H2][O&H1]
[!#1][C&H1]([O&H1])[C&H2][N&H1]C(=O)[!#1]
[!#1][C&H1]([O&H1])[C&H2][N&H2]
[!#1][C&H1]([O&H1])[C&H2][O&H1]
[!#1][C&H1]([O&H1])C(=N[N&H1]C(=O)[!#1])[!#1]
[!#1][C&H1]([O&H1])C(Cl)(Cl)Cl
[!#1][C&H1]([O&H1])C(F)(F)F
[!#1][C&H1]([O&H1])c1[c&H1][c&H1][c&H1][c&H1][c&H1]1
[!#1][C&H1](C(=O)[C&H3])C(=O)[C&H3]
[!#1][C&H1](C(=O)O[C&H2][C&H3])C(=O)O[C&H2][C&H3]
[!#1][C&H1](C(=O)O[C&H3])C(=O)O[C&H3]
[!#1][C&H1](F)C(F)(F)F
[!#1][C&H1](F)OC(F)(F)F
[!#1][C&H1](OC(=O)[C&H3])OC(=O)[C&H3]
[!#1][C&H1]=[C&H1][!#1]
[!#1][C&H1]=[C&H1][C&H1]([!#1])C([C&H3])([C&H3])[C&H3]
